artist,loved_count,mediaid,posted_count,sitename,time,title,loved,tags,artist_index_mod,site_index_mod
onanon,0.0409833908031,2bnef,0.0358744394619,Planeta Pop,227,It's Not Over (The Twelves Remix),False,"indie,dreampop,indiepop,shoegaze,dreamy,experimental,electronica",0.0,0.0
lowerdens,0.0527230133453,1hcvp,0.587443946188,MUSIC BETWEEN FRIENDS,302,Brains,False,"dreampop,postpunk,2010s,shoegaze",0.0,0.0
damienjurado,0.0532231317944,20jv6,0.165919282511,The Swollen Fox,198,Silver Timothy,False,"folk,singersongwriter,indie,americana,indierock,indiefolk,altcountry",0.0,0.0
blitzentrapper,0.0766234108078,k47r,0.282511210762,scruffy the yak,209,Black River Killer,False,"folk,indie,folkrock,altcountry,campfire,singersongwriter,acoustic,indiefolk,chill,1818",0.0,0.0
theknocks,0.125687662868,29s5a,0.0807174887892,JayeL Audio Music,250,Dancing With Myself,False,"electronic,synthpop,streetpunk,indiedance,punk,dance,electronica,house,nudisco",0.4,0.277777777778
embrz,0.248690479324,1y3jj,0.0493273542601,nialler9,284,Slow Down,False,,0.0,0.0
americanauthors,0.364691637493,229ha,0.0313901345291,I Heart Moosiq,292,Best Day Of My Life (Just A Gent Remix),False,"happydance,pop,indie,alternative,indierock,happy,2010s,2014,hollister,malevocalists",0.0,0.0
rudimental,0.394224948014,21hnn,0.0224215246637,EARMILK,305,Free (Cash Cash X Gazzo Remix),False,"drumandbass,dubstep,british,ukfunky,electronic",0.0,0.0
mammút,0.00373772735648,229wz,0.0582959641256,MusikBlog,345,Salt,False,"icelandic,rock,femalevocalist,iceland,icelandicrock",0.0,0.0
tuxedo,0.0114500802822,2c1r6,0.0224215246637,The French Shuffle,238,Without Your Love,False,"funk,soul,metalcore,stonesthrow",0.0,0.0
soma,0.0165302308441,2c2et,0.0179372197309,Different Kitchen,198,Uncertain,False,"ambient,electronic,experimental,techno,downtempo",0.0,0.0
moullinex,0.0229528046116,2c03e,0.0269058295964,Y Este Finde Que,370,Take A Chance (Satin Jackets Remix),False,"electro,disco,retroelectro,dance,electronic,valerie",0.0,0.0
lemon,0.0207680766497,2c063,0.0224215246637,Different Kitchen,165,Better For You,False,,0.0,0.0
kelis,0.0222684319971,23px8,0.0403587443946,Indie Shuffle,315,'Runnin' (Machinedrum Remix),False,"rhythmandblues,hiphop,femalevocalist,pop,soul",0.0,0.0
thedrums,0.0107657076676,265r5,0.00448430493274,KEXP Blog,290,I Can't Pretend,False,"indie,indierock,indiepop,surfrock,pop",0.333333333333,0.0
janetjackson,0.0269537522045,2bzsd,0.0493273542601,Soul Motion,206,No Sleeep,False,"pop,rhythmandblues,femalevocalist,dance,soul",0.0,0.0
•◊hopium◊•,0.100365876129,2b5pr,0.0358744394619,Stereofox,218,Right Now,False,,0.0,0.0
beberexha,0.0583822484273,28h1t,0.0134529147982,Electric Panda Music,208,I'm Gonna Show You Crazy,False,,0.0,0.0
ohwonder,0.101313468979,2b8z0,0.0403587443946,gottadancedirty,263,Midnight Moon (Melvv Remix),False,"indie,electronic,needtoscrobble,chillout,downtempo,femalevocalist",0.0,0.0
astrids,0.139348793135,2b9zs,0.00896860986547,JayeL Audio Music,235,2AM (Matoma Remix),False,,0.0,0.0
troyboi,0.0770708852097,2ba6s,0.00448430493274,Indie Shuffle,201,Do You feat. Armani White (Remix),False,"trap,electronic,experimental,heavy",0.0,0.0
ishinohana,0.0845989839699,2aybj,0.0313901345291,Electrocorp ,317,Lucía (John Talabot's Sunset edit),False,,0.0,0.0
tovelo,0.17064567924,2b92r,0.0134529147982,JayeL Audio Music,278,Talking Body (Jax Jones Remix),False,"pop,swedish,electronic,femalevocalist,indie",0.0,0.0
littlegiants,0.134268642573,2c228,0.0224215246637,The French Shuffle,320,"Lately (Love, Love, Love) (Monsieur Adi Remix)",False,"rap,hiphop,conscioushiphop",0.0,0.0
favorednations,0.0561711984417,2by5n,0.0313901345291,Audio Drums,211,Always,False,"electronic,indie,indiepop",0.0,0.0
astronautsetc,0.100997604696,2b54c,0.0986547085202,The Music Court,230,No Justice,False,"dreampop,electronic,indie,berkeley,malevocalists",0.0,0.0
yearsandyears,0.257034560817,2b8xm,0.139013452915,Spectrum Culture,254,Shine,False,"electronic,indiepop,downtempo,dreampop,british,years",0.0,0.0
diplo,0.221999947356,2baq6,0.0762331838565,Never Radio,285,Bitch Better Have My Money (Diplo & Grandtheft Remix)OFFICIAL,False,"electronic,hiphop,triphop,ninjatune,electronica",0.0,0.222222222222
powers,0.24547919244,2ba6t,0.134529147982,blahblahblahscience,205,Beat Of My Drum,False,,0.0,0.0
gigamesh,0.142691690137,2b9xa,0.0358744394619,The Jackplug,291,The Music,False,"electroniclounge,groove,minnesota,sxsw2010s,nubluz,nudisco,electro,indie,american",0.0,0.0
filous,0.330209786528,2bd2b,0.0448430493274,Sunset in the Rearview,198,How Hard I Try feat. James Hersey,False,"chillout,house,electronic",0.0,0.545454545455
blackbear,0.168566239372,2b9ng,0.0224215246637,Stoney Roads,278,90210 feat. G-Eazy (Matt DiMona Remix),False,"r&b,electronic,pop,powerpop,powerpop,hiphop",0.0,0.0
flume,0.321049722303,2bk4b,0.0986547085202,Beautiful Buzzz,264,Some Minds feat. Andrew Wyatt,False,"electronic,chillout,instrumentalhiphop,australian,hiphop,wonky",0.0,0.0
lorangejeremiahjae,0.121897291464,2ax54,0.0358744394619,Lautstark,171,All I Need (feat. Gift Of Gab),False,"mellomusicgroup,alternativerap,undergroundrap",0.0,0.0
aayushidillistone,0.158537548367,2bz99,0.0224215246637,Musicgeeks,237,Diamond Child,False,,0.0,0.0
majorlazer,0.257245137006,2bzkc,0.00448430493274,Never Radio,194,Too Original (KREAM Remix),False,"electronic,reggae,dub,electro",0.333333333333,0.222222222222
harrisonbrome,0.0684372614567,2bq1c,0.0538116591928,Poetry in an Empty Coke Can,218,Fill Your Brains (Master),False,,0.0,0.0
yearsyears,0.123187070622,2c221,0.0134529147982,POP ON AND ON,240,King (Lash Remix),False,"electronic,indie,british,electropop",0.0,0.0
ironwineandbenbridwell,0.0677528888421,2bzr3,0.0986547085202,Cover Me,213,This Must Be The Place (Naive Melody),False,,0.0,0.0
becomexelohim,0.0585665025927,2c0y2,0.067264573991,First Ear,160,She Talks Too Much,False,,0.0,0.0
chancetherapper,0.0389039509357,296pt,0.00448430493274,Inyourspeakers Media,225,Sunday Candy Feat. The Social Experiment,False,"hiphop,rap,chicago,jazzrap",0.0,0.0
addalfeatlisamay,0.0968387249612,2c08j,0.0224215246637,Electric Panda Music,325,Morning In Love (Original Mix),False,,0.0,0.0
haerts,0.0609354847201,26by0,0.134529147982,Indie Obsessive,258,Giving Up,False,"dreampop,indie,indiepop,chillout,lastfmsc,american",0.0,0.0
frankiecosmos,0.00497486246743,22ky1,0.00448430493274,"Song, by Toad",93,My I Love You,False,,0.0,0.0
seannicholassavage,0.00847569161117,22m21,0.0448430493274,Dots & Dashes,226,Naturally,False,"pop,indiepop,weirdcanada,5432fun,lofi,indie,psychedelicpop,folk,dreampop",0.0,0.0
runthejewels,0.111684346293,26khp,0.206278026906,Too Much Love Magazine ,214,Oh My Darling Don't Cry,False,"hiphop,rap,undergroundhiphop",0.0,0.0
röyksopp,0.131004711642,27mzc,0.0403587443946,music is art,396,Thank You,False,"electronic,chillout,ambient,electronica,norwegian",0.0,0.0
szafeatchancetherapper,0.185859808902,23c5d,0.183856502242,The 405,216,Childs Play,False,,0.0,0.0
fatima,0.00931799636756,24te4,0.0,Don't Need No Melody,325,Biggest Joke Of All,False,"visualkei,jrock,jrock",0.0,0.0
tanyatagaq,0.00407991366376,24s65,0.0493273542601,Chicago Reader,169,Uja,False,"experimental,throatsinging,inuit,throatsinger,femalevocalist,nunavut,inuitthroatsinger,love,canada",0.0,0.0
bombaybicycleclub,0.127266984286,21kgk,0.125560538117,SFCritic,191,Luna,False,"indie,british,indierock,alternative,indiepop",0.0,0.0
willjosephcook,0.0621462978074,2c0vf,0.103139013453,Queen Beetch,177,Beach,False,,0.0,0.0
shura,0.0259798373299,2bzty,0.0403587443946,DIY,443,White Light (Gabe Gurnsey Factory Floor Remix),False,"pop,russian,dance,90s,russianpop,electronic",0.0,0.0
kendricklamar,0.186333605328,2c2a8,0.00896860986547,Music You Wanna Listen To,204,i (Carneyval & INSTRUM Remix),False,"hiphop,rap,westcoast",0.0,0.0
lewisdelmar,0.181858861309,2c0xq,0.0582959641256,Le Soundrivin,249,Loud(y),False,,0.0,0.0
saintmotel,0.0780974441315,2c15e,0.0358744394619,Vocododo,280,My Type (Eau Claire Remix),False,"indie,indierock,american,hardpop,losangeles,powerpop",0.0,0.0
littlegiants,0.219683609276,2aynk,0.0403587443946,Abduction Radiation,212,"Lately (Love, Love, Love)",False,"rap,hiphop,conscioushiphop",0.0,0.0
theweeknd,0.0869416440736,2c298,0.0179372197309,THUMP,300,Can't Feel My Face (Keljet Edit),False,"rhythmandblues,electronic,dubstep,canadian,progrhythmandblues",0.0,0.2
wizkhalifafeatcharlieputh,0.142296859783,2azcr,0.0179372197309,EDM Girl,223,See You Again (Ale Mora Remix),False,,0.0,0.0
alessia,0.310020794399,2b0gs,0.0941704035874,J(am) of the Day,200,HERE,False,"club,house,dance,electronic,romanian",0.0,0.0
seaoleena,0.0262167355426,25z92,0.139013452915,Just Music That I Like,311,If I'm,False,"dreampop,folk,acoustic,indie,experimental",0.0,0.0
stevegunn,0.00916006422574,25e7m,0.0582959641256,Earbuddy,334,Milly's Garden,False,"folk,acoustic,singersongwriter",0.0,0.0
starfoxxx,0.0181095522624,2651y,0.00896860986547,Electric Panda Music,309,Bae HD,False,"electronic,moombahton,brujahton",0.0,0.0
baauer,0.332841988892,27ehz,0.121076233184,Pilerats,215,One Touch feat. AlunaGeorge & Rae Sremmurd,False,"trap,electronic,bass",0.0,0.0
maiday,0.139585691348,285hh,0.0403587443946,The 405,218,Wish You'd Met Me First,False,,0.0,0.0
allodarlin,0.0128977915822,260dr,0.0896860986547,Berkeley Place,172,Romance And Adventure,False,"indiepop,indie,twee,femalevocalist,acoustic",0.0,0.0
careful,0.00652786186202,1n80b,0.0269058295964,KEXP Blog,178,It's Funny,False,"postrock,mathrock,noiserock",0.0,0.0
aphextwin,0.0283488194572,26dqh,0.183856502242,Wondering Sound,288,minipops 67 (120.2)(source Field Mix),False,"electronic,idm,ambient,experimental,electronica",0.0,0.0
thrupence,0.0534073859598,26w7s,0.0986547085202,Deftune,248,Silk,False,"ambient,electronic,chillwave,chillout,australian",0.0,0.0
goldroom,0.0265062778026,23tcs,0.00896860986547,Poetry in an Empty Coke Can,279,Embrace (backstroke. Remix),False,"nudisco,electronic,electropop,electronica,synthpop,nudisco,indiedance,disco,indietronica,dance",0.0,0.0
theknocks,0.0543023347635,26n5b,0.0179372197309,JayeL Audio Music,297,Classic (DiscoTech Remix) - Big Beat,False,"electronic,synthpop,streetpunk,indiedance,punk,dance,electronica,house,nudisco,electropop",0.4,0.277777777778
tālā,0.0411150009213,26t41,0.174887892377,Stamp The Wax,201,Alchemy,False,"electronic,electropop,uk,iran,contemporaryr&b,indie,electronica",0.0,0.0
haerts,0.0795714774552,20cjh,0.107623318386,Cougar Microbes,320,Wings (Shlohmo Remix),False,"dreampop,indie,chillout,indiepop,lastfmsc,american,femalevocalist",0.0,0.2
whilkandmisky,0.424890105551,27qph,0.0493273542601,Inyourspeakers Media,318,Babe I'm Yours,False,"electronica,indie,electronic,electro,dark,try",0.0,0.0
kanyewestvssamsmith,0.37479929457,27x6p,0.0448430493274,Wake the Deaf,266,Tell Me I'm The Only One (Carlos Serrano Mix),False,,0.0,0.0
florencethemachine,0.12621410334,27170,0.0358744394619,EDM Girl,263,You've Got The Love (Prince Fox Remix),False,"indie,femalevocalist,british,alternative",0.333333333333,0.0
felixjaehnfeatchrismeid,0.129451712248,26tvp,0.0448430493274,JayeL Audio Music,248,One Last Time Remix,False,,0.0,0.0
odesza,0.221763049143,26t7k,0.0448430493274,acid stag,198,Say My Name (feat. Zyra) (cln Remix),False,"chillwave,electronic,glofi,ambient,electronica",0.0,0.0
cleanbanditjessglynne,0.193519517781,26xhz,0.0582959641256,JayeL Audio Music,219,Real Love,False,pop,0.0,0.0
jaymesyoung,0.16398620726,26x11,0.0313901345291,Ladywood ,250,I'll Be Good,False,"indie,indiepop,electropop,electronic,electronica",0.0,0.0
goldlink,0.0404306283067,23hn5,0.0269058295964,Silence Nogood,164,Bedtime Story (Prod. Louie Lastic),False,,0.0,0.0
kingsofconvenience,0.0593035192546,63cw,0.0582959641256,Indie Shuffle,235,Know How (featuring Feist),False,"acoustic,indie,chillout,mellow,kingsofconvenience,indiepop,folk,norwegian,relaxing,alternative",0.75,0.478260869565
dirtysouth,0.0614619251928,26tye,0.0269058295964,Dancing Astronaut,274,Unbreakable (Elephante Remix),False,"house,electrohouse,electronic,electro,dance",0.0,0.0
youngsick,0.0610670948383,26vkp,0.0403587443946,Salacious Sound,282,Breathe (Télépopmusik Cover),False,"postsoul,coachella,guardiannewmusic",0.0,0.0
kp,0.0634360769656,26px0,0.0358744394619,I Heart Moosiq,241,where did you go,False,,0.0,0.0
yellerkin,0.0621462978074,26rsp,0.143497757848,Operation Every Band,261,Tools,False,"electronic,rock,pop,duo",0.0,0.0
foynesnicholasbasquiat,0.0559869442763,26tvt,0.0134529147982,I Heart Moosiq,215,Protect (Feat. Antony & Cleopatera) (Foynes Remix),False,,0.0,0.0
aphextwin,0.0530125556053,26qkp,0.00896860986547,said the gramophone,322,Aisatsana,False,"electronic,idm,ambient,experimental,electronica",0.0,0.5
jurassic5,0.194914585033,24jdj,0.0179372197309,Musikfar,229,The Way We Do It,False,"hiphop,rap,undergroundhiphop",0.0,0.0
rac,0.109868126662,26mpj,0.0358744394619,Chubby Beavers,265,Cheap Sunglasses feat. Matthew Koma (Two Friends Remix),False,"electronic,electro,electronica,chillout,thesixtyone",0.0,0.0
altj,0.418993972257,261f8,0.251121076233,The Devil Has The Best Tuna,216,Every Other Freckle,False,"indie,electronic,british,alternative,indiepop",0.0,0.0
joeybada$$,0.151483246032,26vk9,0.067264573991,Pilerats,237,Get Paid,False,"hiphop,undergroundhiphop,rap,newyork",0.0,0.0
ti,0.127319628333,26tj0,0.0403587443946,Different Kitchen,206,No Mediocre feat. Iggy Azalea (Grandtheft Remix),False,"hiphop,rap,dirtysouth,southernrap",0.0,0.0
matingritual,0.14524492643,26ngg,0.0807174887892,Audio Drums,188,Toxins,False,,0.0,0.0
jaymesyoung,0.0720960227422,26txn,0.0179372197309,Sunset in the Rearview,221,What Should I Do,False,"indie,indiepop,electropop,electronic,electronica",0.0,0.545454545455
tulahome,0.173277881604,26vjs,0.0403587443946,grinzao,226,Wicked Game,False,,0.0,0.0
coldwarkids,0.558737595746,26a2r,0.0896860986547,Never Radio,201,First,False,"indie,indierock,alternative,rock,american",0.0,0.0
benkhan,0.107815008818,237kw,0.242152466368,When The Gramophone Rings,198,Youth,False,"electro,seductive,darkish,again,under5000listeners,darpaklausytidaugia",0.0,0.0
thewarondrugs,0.334289700192,20xm4,0.618834080717,Inyourspeakers Media,299,Red Eyes,False,"indierock,folk,indie,folkrock,rock",0.0,0.0
lorde,0.161880445369,26wg0,0.0134529147982,Earbuddy,233,Yellow Flicker Beat,False,"pop,indiepop,electronic,indie,newzealand,femalevocalist",0.0,0.0
jamesbay,0.451264773236,23wf2,0.0986547085202,Spectrum Culture,261,Let It Go,False,"folk,indie,pop,singersongwriter,indiefolk,malevocalists,thebedford",0.0,0.0
jaymesyoung,0.498565449712,238f5,0.0896860986547,JayeL Audio Music,214,Habits Of My Heart (Sufjan Stevens Remake),False,"indie,electropop,electronic,indiepop,electronica",0.0,0.277777777778
thvn,0.0499065568161,234rw,0.0224215246637,Sirens of Decay,230,toxic,False,"experimental,beats,abstract,spacehop,electronic",0.0,0.0
m83,0.0665157537311,1m0ab,0.22869955157,Music For Ants,291,Graveyard Girl,False,"shoegaze,electronic,indie,dreampop,pop,postrock,electronica,dreamy,rock,00s",0.0,0.0
benhoward,0.125740306915,1m1ef,0.0179372197309,Cover Lay Down,273,Call Me Maybe (Carly Rae Jepsen Cover),False,"folk,acoustic,singersongwriter,british,indiefolk",0.0,0.0
emmalouise,0.101524045169,1m13r,0.0493273542601,Let's Not Get Carried Away,274,Boy,False,"indie,indiepop,australian,electronic,synthpop,folktronic,electro,folktronica,electropop,indietronic",0.0,0.0
thomasjack,0.193124687426,205r0,0.0403587443946,Stoney Roads,539,Symphony (Original Mix),False,,0.0,0.0
saintetienne,0.0425363901977,1kze6,0.0134529147982,Vacay Wave,389,I've Got Your Music (Golden Filter Remix),False,"electronic,pop,femalevocalist,indiepop,indie,british,electronica,britpop",0.0,0.0
thetwelves,0.0353767997684,1m1d0,0.00896860986547,Revista Metrónomo,866,The Twelves | 08.05.2012,False,"electronic,brazilian,electroclash,electro,electropop",0.0,0.0
lilkids,0.0633834329183,1m1ve,0.0179372197309,Dingus,196,Nobodies,False,,0.0,0.0
ghostbeach,0.101813587429,1m0a7,0.112107623318,KEXP Blog,208,Miracle,False,"surfshit,stoner,greensboro",0.0,0.0
steveaokidiplodeorro,0.112789871285,236tz,0.0224215246637,Dancing Astronaut,281,Freak (feat. Steve Bays),False,,0.0,0.0
jungle,0.171277407807,22m26,0.309417040359,Abeano Music,180,Busy Earnin',False,jungle,0.0,0.0
thenightvi,0.1047879761,236d7,0.192825112108,DrunkenWerewolf,225,Sienna,False,"indie,indiepop",0.0,0.0
haim,0.100207943987,236m2,0.0627802690583,the burning ear,359,If I Could Change Your Mind (The Knocks Remix),False,"indie,indiepop,femalevocalist,indierock,soul,pop",0.0,0.0
londongrammar,0.126687899766,23781,0.14798206278,Twee Huizen Verder,346,Hey Now (Bonobo Remix),False,"indiepop,electronic,indie,femalevocalist,british",0.0,0.0
tourist,0.415624753231,22ejp,0.179372197309,REDEFINE magazine,271,I Can't Keep Up (feat. Will Heard),False,"ambient,indie,electro,alternativerock,belgian,hiphop,alternative,rock,electronic",0.0,0.0
safia,0.256218578084,236kx,0.121076233184,Site of Sound,266,"Paranoia, Ghosts & Other Sounds",False,"indie,house,electronica,australian,nudisco",0.0,0.5
lykkeli,0.355900081598,2374v,0.19730941704,Cougar Microbes,221,No Rest For The Wicked,False,"indiepop,femalevocalist,swedish,electronic,pop,indie",0.0,0.2
porterrobinson,0.196362296333,236gd,0.0986547085202,JayeL Audio Music,368,Sea Of Voices (RAC Mix),False,"electrohouse,electro,dubstep,house,electronic",0.0,0.0
ewokfur,0.0156089600168,1ks44,0.00896860986547,guerolitomusic,161,moving to antarctica sounds quite ok,False,"tropical,lofi,experimental",0.0,0.0
fluxpavilion,0.0385617646285,1krp8,0.0269058295964,Salacious Sound,317,Daydreamer feat. Example (Jack Beats Remix),False,"dubstep,electronic,bass",0.0,0.0
zelladay,0.0912584559501,236fk,0.139013452915,West Coast Fix,222,1965,False,"folk,indie,singersongwriter,pop,under2010s0listeners",0.0,0.0
dveloped,0.166644731647,1f3cm,0.0179372197309,Sunset in the Rearview,261,My Dangerously Melodic Anthem,False,"mix,mashup,mashup,hiphop,bliphop,remix,nothiphop,dj,mashcore,beat",0.0,0.545454545455
embrz,0.257034560817,1z1vr,0.0582959641256,nialler9,322,Make Your Way,False,"electronic,chillstep",0.0,0.0
edwardsharpeandthemagneticzeros,0.0669369061093,205f7,0.0403587443946,The New LoFi,355,Life Is Hard (Teen Daze Remix),False,"quirky,indiefolk,folk,goodtims,instantfeelgood,insanehappiness,indie,indierock,funmusic,handclapping",0.0,0.0
eminem,0.152536126977,207bj,0.00896860986547,Earbuddy,265,Beautiful Pain feat. Sia,False,"rap,hiphop,eminem",0.5,0.0
josefsalvat,0.1723829328,204ky,0.121076233184,josh is listening to,223,Every Night,False,"indie,experimental,pop,alternative,indiepop,malevocalists",0.0,0.0
common,0.130925745571,2055a,0.0807174887892,The 405,230,I Want You (Kaytranada Edition),False,"hiphop,rap,soul,alternativerap",0.0,0.0
yuna,0.081545629228,205p1,0.00448430493274,Earbuddy,214,Lights And Camera,False,"femalevocalist,malaysian,indie,folk,acoustic,singersongwriter,malaysia",0.0,0.0
drake,0.261667236977,205dd,0.183856502242,House of Lords,221,Come Thru (James Blake Version),False,"hiphop,rap,rhythmandblues,canadian",0.5,0.0
childishgambino,0.0842567976626,1kzn8,0.0313901345291,CHROMEMUSIC,141,Fuck Your Blog (feat. Flynt Flossy & Yung Humma),False,"hiphop,rap,indie,undergroundhiphop",0.0,0.0
nodoubt,0.0165828748914,1ksgh,0.00448430493274,Inyourspeakers Media,264,Don't Speak,False,"90s,rock,pop,femalevocalist,alternative,nodoubt,ska,sad,alternativerock",0.0,0.0
project46,0.0308230896791,1ktar,0.00896860986547,aerial noise,316,The Rift (Original Mix),False,"house,electrohouse,epic,dance,electronic,metalcore,electro,pureawesome",0.0,0.0
kindness,0.100023689821,1k8g5,0.192825112108,Genre Confused,217,House,False,"indie,british,disco,electronic,uk,unitedkingdom",0.0,0.0
activechild,0.0508804716907,1kqq6,0.067264573991,Indiehere,183,Hanging On (GRVRBBRS Remix),False,"experimental,indie,chillwave,dreampop,avantgarde",0.0,0.0
goldroom,0.318917638388,1m044,0.273542600897,Buzzbands.LA,300,Fifteen (ft Chela),False,"ambient,electronica,club,retroelectro,lofi,chill,trippy,remix,indierock,nudisco",0.0,0.0
theknocks,0.135584743755,1kzak,0.112107623318,JayeL Audio Music,324,Learn To Fly,False,"streetpunk,electronic,punk,melodicpunk,00s,pop",0.4,0.277777777778
mashupgermany,0.20386407307,1g7r0,0.0269058295964,Silence Nogood,245,Top of the Pops 2011 (What The Fuck),False,"mashup,dance",0.0,0.0
ariondubstep,0.0555394698744,1g5vx,0.0,Penned Madness,228,I'm Coming Home ( Diddy feat. Skylar Grey),False,dubstep,0.0,0.0
mikeposner,0.119028190887,1g53y,0.0313901345291,Pick Up The Headphones,204,Looks Like Sex,False,"2012,malevocalists,lust,2010s,groovenation,dance,hiphop,american,2011,pop",0.0,0.0
swedishhousemafia,0.212155510516,1jphx,0.0134529147982,EARMILK,411,Greyhound (Original Mix),False,"house,electronic,dance,electrohouse,electro",0.0,0.0
gymclassheroesfeatneonhitch,0.131188965808,1gh6m,0.00896860986547,the burning ear,316,Ass Back Home (Black Cards Remix),False,,0.0,0.0
birdy,0.17846332026,1fz31,0.0538116591928,The Morning After,309,1901 (Phoenix Cover),False,"folk,femalevocalist,british,indie,singersongwriter",0.0,0.0
xv,0.0510647258561,1ks0q,0.00448430493274,Et Musique Pour Tous,290,Pictures On My Wall,False,"hiphop,rap,kansas,xv",0.0,0.0
thewanted,0.0284014635045,1ks63,0.0,POP ON AND ON,342,Chasing The Sun (Mario Larrea Club Mix),False,"pop,british,psychobilly,garagerock,thewanted",0.0,0.0
lanadelrey,0.0556974020163,1kr6z,0.107623318386,Cougar Microbes,224,Blue Jeans feat. Azealia Banks (Smims&Belle Extended Remix),False,"femalevocalist,indie,indiepop,pop,alternative",0.0,0.2
viceroywhitenoize,0.0656471269511,1kt18,0.0403587443946,Silence Nogood,332,Only Takes (Original Mix),False,,0.0,0.0
florenceandthemachine,0.0297702087336,1ksjr,0.0,Free Breaks Blog,307,You Got The Love (The Bॐb Squad Breaks Mix),False,"femalevocalist,indie,indiepop,alternative,folk,british",0.0,0.0
kidsthesedays,0.0474322865942,1ksca,0.00896860986547,Simply 7,221,Darling,False,"hiphop,funk,blues,jazz,soul,chicago",0.0,0.0
deadmau5,0.182306335711,1d055,0.0134529147982,Your Music Radar,285,Double Life Of Mau5e (Skrillex Mix),False,"house,electronic,progressivehouse,electro,minimal",0.0,0.333333333333
ramonafalls,0.0457739991051,1ksb9,0.00896860986547,The Music Ninja,220,Proof,False,"indierock,experimental,indie,freakfolk,avantgarde",0.0,0.0
throttle,0.0415624753231,1ks3x,0.0134529147982,REMIX86,300,Next Big Thing (Original Mix),False,"groovy,grovepunk,trippy,stonerrock",0.0,0.0
joelzimmerman,0.0634887210129,1krb0,0.0179372197309,Your Music Radar,431,Closer Rev.2,False,"minimaltechno,minimal,house,progresivehouse,dance,electronica,electronic,electro",0.0,0.0
summerheart,0.0501960990761,1ks5c,0.0,Hilly Dilly,246,I Wanted You To Stay On the Other (Side),False,"chillwave,dreampop,electronic,indie,glofi",0.0,0.0
bobmarley,0.1105788213,1ks6g,0.00448430493274,The Music Ninja,306,Sun Is Shining (Smoke Out Dubstep Remix),False,"reggae,rootsreggae",0.0,0.0
greglaswell,0.0627780263747,1ks5y,0.0,POP ON AND ON,228,Come Back Down (feat. Sara Bareilles),False,"singersongwriter,indie,alternative,melodic,rock",0.0,0.0
fosterthepeople,0.0845726619463,1kr1b,0.0582959641256,All Things Go,366,Don't Stop (Oliver Remix),False,"indie,indiepop,alternative,american",0.0,0.666666666667
amadoumariam,0.0799926298334,1kbzc,0.0224215246637,the steely stylus,312,Je pense a toi,False,"african,world,mali,sennik,worldmusic,mellow,melancholic",0.0,0.0
felixcartal,0.303256034324,1ksas,0.0403587443946,Chubby Beavers,201,Tonight (Original Mix) (feat. Maja Ivarsson from The Sounds),False,"electro,electronic,dirtyelectro,canadian,house",0.0,0.0
hoodieallen,0.286936379669,1kbc4,0.0224215246637,This Bonus Track,201,No Faith In Brooklyn (Feat. Jhameel),False,"hiphop,rap,alternativerap",0.5,0.5
aviciifeatsalemalfakir,0.154194414467,1kbcn,0.00896860986547,EARMILK,392,Silhouettes (Original Vocal Mix),False,,0.0,0.0
aviciidavidguettaspecialfeaturesmaxcpetesweat,0.0957331999684,1fg49,0.00448430493274,aerial noise,369,Avicii Ft Guetta - Sunshine Special Features ( Pete Sweat - I Found U In Sunshine ),False,,0.0,0.0
grouplove,0.238056381775,1f4xw,0.0493273542601,EARMILK,245,Colours (Xaphoon Jones Remix),False,"indie,indierock,indiepop,alternative,rock",0.0,0.0
overnightcelebritythrill,0.128161933089,1f4xt,0.0,AudioCred,241,Wiz Khalifa feat. Twista & Kanye West,False,,0.0,0.0
jayzkanyewest,0.101050248743,1f4am,0.0403587443946,Cougar Microbes,275,Niggas In Paris (feat. T.I.) (Remix),False,"hiphop,rap,kanyewest,jayz",0.0,0.0
bastille,0.395225184912,1fbqe,0.0538116591928,JayeL Audio Music,188,What Would You Do? (City High Cover),False,"malevocalists,cover,indie",0.0,0.0
nekocase,0.000263220236372,1bgn6,0.0,Town Full of Losers,125,Misfire (Queen cover),False,"altcountry,singersongwriter,femalevocalist,indie,folk,country,americana",0.0,0.0
townesvanzandt,0.000473796425469,qdje,0.00896860986547,Carnival Saloon,196,To Live Is To Fly,False,"folk,singersongwriter,americana,altcountry,country,townesvanzandt,townes,acoustic,today,sixfeetunder",0.0,0.0
emmylouharris,0.000263220236372,122mx,0.00896860986547,Cover Lay Down,245,Millworker (James Taylor cover),False,"country,femalevocalist,folk,singersongwriter,altcountry",0.0,0.0
southeastengine,0.000263220236372,1a055,0.00896860986547,Music Savage,307,Adeline of the Applachian Mountains,False,"altcountry,rock,ohio,athens,dayton",0.0,0.0
jcole,0.0888894738227,1egj6,0.0358744394619,Avenge the Virgins,190,Nobody's Perfect (feat. Missy Elliott),False,"bestof2011,missyelliott,hiphop,rap,jcole",0.0,0.0
justice,0.145271248454,1eahn,0.14798206278,Stoney Roads,271,Helix,False,"electronic,electro,audiovideodisco,justice,edbangerrecords,radio4265,otherlevel,french,rock,electronica",0.5,0.0
thewhitepanda,0.57382011529,1ebcm,0.0582959641256,Silence Nogood,234,Midnight Life (Kanye West vs. M83),False,"mashup,electronic",0.7,0.583333333333
yonas,0.0669105840857,1dw12,0.0,Sunset in the Rearview,229,I Need A Dollar,False,"hiphop,rap,yonasrapper,fusion,newyork,yonas,yonasmusic,soul,dance,music",0.0,0.0
